"Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2,4166,8,10,true,4,1,33,4,10,2,3,1
"Morbi odio odio elementum eu interdum eu tincidunt in leo. Maecenas pulvinar lobortis est.",8,3520,2,3,false,4,1,63,3,6,4,2,3
Nulla tempus.,2,2601,6,1,false,5,6,37,8,10,5,1,2
"Maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Mauris viverra diam vitae quam. Suspendisse potenti.",4,300,8,4,true,1,9,65,1,6,3,8,1
Sed sagittis.,9,3609,8,3,false,1,7,60,1,9,9,2,3
"Integer non velit. Donec diam neque vestibulum eget vulputate ut ultrices vel augue.",5,4241,1,10,false,9,3,50,2,2,6,5,4
Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,8,1223,9,8,true,4,10,51,9,3,6,8,4
Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,4,1479,5,9,false,1,1,30,6,3,10,3,2
Proin risus.,3,906,1,9,true,5,7,81,10,7,6,2,2
"Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",3,1043,5,5,true,10,3,66,9,4,7,8,4
Donec quis orci eget orci vehicula condimentum.,7,3843,4,5,false,7,3,60,3,10,3,2,4
"Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",1,891,8,3,true,4,4,92,6,8,8,4,4
Etiam justo.,7,1214,3,2,true,10,10,74,2,1,9,3,4
"Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1,679,3,1,true,7,8,1,7,7,2,4,4
Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,2,2849,2,6,true,1,5,46,4,4,3,5,1
Praesent id massa id nisl venenatis lacinia.,9,1035,1,5,true,5,1,19,3,3,2,2,2
In hac habitasse platea dictumst.,4,4525,5,7,true,6,3,86,7,10,5,7,2
Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,9,432,8,8,false,10,5,10,4,1,4,1,4
"Vestibulum quam sapien varius ut blandit non interdum in ante.",10,3076,9,7,true,1,5,87,6,4,9,3,4
Proin risus. Praesent lectus.,10,4779,3,1,false,7,9,29,10,1,3,2,1
"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem.",9,3886,6,9,true,5,6,43,10,7,7,1,3
Morbi non quam nec dui luctus rutrum.,8,4013,10,4,true,3,8,22,5,10,8,9,3
"Donec odio justo sollicitudin ut suscipit a feugiat et eros. Vestibulum ac est lacinia nisi venenatis tristique.",9,599,5,5,true,2,9,35,8,9,1,4,4
Proin at turpis a pede posuere nonummy.,10,3682,4,9,false,6,6,78,6,6,8,6,2
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",10,1057,8,8,false,3,4,66,10,2,10,10,1
"In est risus auctor sed tristique in tempus sit amet sem.",10,1904,3,5,false,1,3,28,10,8,2,8,2
Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,9,1962,4,9,true,7,10,86,4,2,4,2,2
Donec dapibus.,9,555,6,2,false,5,6,71,1,6,3,1,3
"Quisque arcu libero rutrum ac lobortis vel dapibus at diam.",8,1766,2,8,false,1,5,23,2,4,8,7,1
"Morbi ut odio. Cras mi pede malesuada in imperdiet et commodo vulputate justo. In blandit ultrices enim.",6,730,10,10,false,2,8,31,2,9,10,4,2
In sagittis dui vel nisl.,8,650,8,4,true,2,10,26,2,6,6,9,2
Praesent lectus.,7,2669,7,4,false,7,6,12,6,7,7,8,3
"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis. Fusce posuere felis sed lacus.",9,4716,2,6,true,8,5,46,8,2,6,3,3
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Duis faucibus accumsan odio. Curabitur convallis.,1,408,7,4,true,3,6,55,3,2,4,9,3
"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci.",7,3107,8,3,true,3,4,6,9,4,6,5,2
Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,5,682,10,1,true,2,7,89,2,4,2,9,4
"Integer non velit. Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",1,2653,7,9,true,8,6,25,10,8,6,2,2
Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2,2439,2,3,true,3,1,78,3,6,8,7,3
"Nulla ac enim. In tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem.",2,3105,2,3,true,9,10,14,7,2,7,3,3
Morbi vel lectus in quam fringilla rhoncus.,3,3910,6,9,false,7,1,93,2,9,4,3,1
Suspendisse accumsan tortor quis turpis.,9,327,5,1,false,8,8,82,1,10,3,2,2
"Quisque erat eros viverra eget congue eget semper rutrum nulla. Nunc purus.",10,2870,3,10,true,1,1,6,9,8,7,3,4
Vivamus vel nulla eget eros elementum pellentesque.,9,4738,3,1,true,7,7,30,10,2,8,8,2
Duis bibendum.,7,1234,5,1,true,3,8,73,6,10,4,9,4
Nulla justo.,10,1942,7,4,false,5,5,29,7,5,3,9,3
"Lorem ipsum dolor sit amet consectetuer adipiscing elit.",2,4299,7,3,false,9,4,91,7,7,1,3,1
Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,5,1873,10,7,true,5,1,38,9,10,4,10,3
Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,10,4345,9,5,true,10,7,38,4,7,6,5,1
Donec semper sapien a libero.,1,2509,3,10,false,5,9,58,9,9,4,4,4
Proin eu mi.,6,3722,4,6,false,9,9,32,7,3,8,5,3
"Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2,4166,8,10,true,4,1,33,4,10,2,3,1
"Morbi odio odio elementum eu interdum eu tincidunt in leo. Maecenas pulvinar lobortis est.",8,3520,2,3,false,4,1,63,3,6,4,2,3
Nulla tempus.,2,2601,6,1,false,5,6,37,8,10,5,1,2
"Maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Mauris viverra diam vitae quam. Suspendisse potenti.",4,300,8,4,true,1,9,65,1,6,3,8,1
Sed sagittis.,9,3609,8,3,false,1,7,60,1,9,9,2,3
"Integer non velit. Donec diam neque vestibulum eget vulputate ut ultrices vel augue.",5,4241,1,10,false,9,3,50,2,2,6,5,4
Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,8,1223,9,8,true,4,10,51,9,3,6,8,4
Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,4,1479,5,9,false,1,1,30,6,3,10,3,2
Proin risus.,3,906,1,9,true,5,7,81,10,7,6,2,2
"Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",3,1043,5,5,true,10,3,66,9,4,7,8,4
Donec quis orci eget orci vehicula condimentum.,7,3843,4,5,false,7,3,60,3,10,3,2,4
"Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",1,891,8,3,true,4,4,92,6,8,8,4,4
Etiam justo.,7,1214,3,2,true,10,10,74,2,1,9,3,4
"Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1,679,3,1,true,7,8,1,7,7,2,4,4
Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,2,2849,2,6,true,1,5,46,4,4,3,5,1
Praesent id massa id nisl venenatis lacinia.,9,1035,1,5,true,5,1,19,3,3,2,2,2
In hac habitasse platea dictumst.,4,4525,5,7,true,6,3,86,7,10,5,7,2
Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,9,432,8,8,false,10,5,10,4,1,4,1,4
"Vestibulum quam sapien varius ut blandit non interdum in ante.",10,3076,9,7,true,1,5,87,6,4,9,3,4
Proin risus. Praesent lectus.,10,4779,3,1,false,7,9,29,10,1,3,2,1
"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem.",9,3886,6,9,true,5,6,43,10,7,7,1,3
Morbi non quam nec dui luctus rutrum.,8,4013,10,4,true,3,8,22,5,10,8,9,3
"Donec odio justo sollicitudin ut suscipit a feugiat et eros. Vestibulum ac est lacinia nisi venenatis tristique.",9,599,5,5,true,2,9,35,8,9,1,4,4
Proin at turpis a pede posuere nonummy.,10,3682,4,9,false,6,6,78,6,6,8,6,2
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",10,1057,8,8,false,3,4,66,10,2,10,10,1
"In est risus auctor sed tristique in tempus sit amet sem.",10,1904,3,5,false,1,3,28,10,8,2,8,2
Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,9,1962,4,9,true,7,10,86,4,2,4,2,2
Donec dapibus.,9,555,6,2,false,5,6,71,1,6,3,1,3
"Quisque arcu libero rutrum ac lobortis vel dapibus at diam.",8,1766,2,8,false,1,5,23,2,4,8,7,1
"Morbi ut odio. Cras mi pede malesuada in imperdiet et commodo vulputate justo. In blandit ultrices enim.",6,730,10,10,false,2,8,31,2,9,10,4,2
In sagittis dui vel nisl.,8,650,8,4,true,2,10,26,2,6,6,9,2
Praesent lectus.,7,2669,7,4,false,7,6,12,6,7,7,8,3
"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis. Fusce posuere felis sed lacus.",9,4716,2,6,true,8,5,46,8,2,6,3,3
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Duis faucibus accumsan odio. Curabitur convallis.,1,408,7,4,true,3,6,55,3,2,4,9,3
"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci.",7,3107,8,3,true,3,4,6,9,4,6,5,2
Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,5,682,10,1,true,2,7,89,2,4,2,9,4
"Integer non velit. Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",1,2653,7,9,true,8,6,25,10,8,6,2,2
Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2,2439,2,3,true,3,1,78,3,6,8,7,3
"Nulla ac enim. In tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem.",2,3105,2,3,true,9,10,14,7,2,7,3,3
Morbi vel lectus in quam fringilla rhoncus.,3,3910,6,9,false,7,1,93,2,9,4,3,1
Suspendisse accumsan tortor quis turpis.,9,327,5,1,false,8,8,82,1,10,3,2,2
"Quisque erat eros viverra eget congue eget semper rutrum nulla. Nunc purus.",10,2870,3,10,true,1,1,6,9,8,7,3,4
Vivamus vel nulla eget eros elementum pellentesque.,9,4738,3,1,true,7,7,30,10,2,8,8,2
Duis bibendum.,7,1234,5,1,true,3,8,73,6,10,4,9,4
Nulla justo.,10,1942,7,4,false,5,5,29,7,5,3,9,3
"Lorem ipsum dolor sit amet consectetuer adipiscing elit.",2,4299,7,3,false,9,4,91,7,7,1,3,1
Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,5,1873,10,7,true,5,1,38,9,10,4,10,3
Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,10,4345,9,5,true,10,7,38,4,7,6,5,1
Donec semper sapien a libero.,1,2509,3,10,false,5,9,58,9,9,4,4,4
Proin eu mi.,6,3722,4,6,false,9,9,32,7,3,8,5,3
"Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2,4166,8,10,true,4,1,33,4,10,2,3,1
"Morbi odio odio elementum eu interdum eu tincidunt in leo. Maecenas pulvinar lobortis est.",8,3520,2,3,false,4,1,63,3,6,4,2,3
Nulla tempus.,2,2601,6,1,false,5,6,37,8,10,5,1,2
"Maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Mauris viverra diam vitae quam. Suspendisse potenti.",4,300,8,4,true,1,9,65,1,6,3,8,1
Sed sagittis.,9,3609,8,3,false,1,7,60,1,9,9,2,3
"Integer non velit. Donec diam neque vestibulum eget vulputate ut ultrices vel augue.",5,4241,1,10,false,9,3,50,2,2,6,5,4
Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,8,1223,9,8,true,4,10,51,9,3,6,8,4
Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,4,1479,5,9,false,1,1,30,6,3,10,3,2
Proin risus.,3,906,1,9,true,5,7,81,10,7,6,2,2
"Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",3,1043,5,5,true,10,3,66,9,4,7,8,4
Donec quis orci eget orci vehicula condimentum.,7,3843,4,5,false,7,3,60,3,10,3,2,4
"Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",1,891,8,3,true,4,4,92,6,8,8,4,4
Etiam justo.,7,1214,3,2,true,10,10,74,2,1,9,3,4
"Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1,679,3,1,true,7,8,1,7,7,2,4,4
Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,2,2849,2,6,true,1,5,46,4,4,3,5,1
Praesent id massa id nisl venenatis lacinia.,9,1035,1,5,true,5,1,19,3,3,2,2,2
In hac habitasse platea dictumst.,4,4525,5,7,true,6,3,86,7,10,5,7,2
Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,9,432,8,8,false,10,5,10,4,1,4,1,4
"Vestibulum quam sapien varius ut blandit non interdum in ante.",10,3076,9,7,true,1,5,87,6,4,9,3,4
Proin risus. Praesent lectus.,10,4779,3,1,false,7,9,29,10,1,3,2,1
"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem.",9,3886,6,9,true,5,6,43,10,7,7,1,3
Morbi non quam nec dui luctus rutrum.,8,4013,10,4,true,3,8,22,5,10,8,9,3
"Donec odio justo sollicitudin ut suscipit a feugiat et eros. Vestibulum ac est lacinia nisi venenatis tristique.",9,599,5,5,true,2,9,35,8,9,1,4,4
Proin at turpis a pede posuere nonummy.,10,3682,4,9,false,6,6,78,6,6,8,6,2
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",10,1057,8,8,false,3,4,66,10,2,10,10,1
"In est risus auctor sed tristique in tempus sit amet sem.",10,1904,3,5,false,1,3,28,10,8,2,8,2
Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,9,1962,4,9,true,7,10,86,4,2,4,2,2
Donec dapibus.,9,555,6,2,false,5,6,71,1,6,3,1,3
"Quisque arcu libero rutrum ac lobortis vel dapibus at diam.",8,1766,2,8,false,1,5,23,2,4,8,7,1
"Morbi ut odio. Cras mi pede malesuada in imperdiet et commodo vulputate justo. In blandit ultrices enim.",6,730,10,10,false,2,8,31,2,9,10,4,2
In sagittis dui vel nisl.,8,650,8,4,true,2,10,26,2,6,6,9,2
Praesent lectus.,7,2669,7,4,false,7,6,12,6,7,7,8,3
"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis. Fusce posuere felis sed lacus.",9,4716,2,6,true,8,5,46,8,2,6,3,3
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Duis faucibus accumsan odio. Curabitur convallis.,1,408,7,4,true,3,6,55,3,2,4,9,3
"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci.",7,3107,8,3,true,3,4,6,9,4,6,5,2
Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,5,682,10,1,true,2,7,89,2,4,2,9,4
"Integer non velit. Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",1,2653,7,9,true,8,6,25,10,8,6,2,2
Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2,2439,2,3,true,3,1,78,3,6,8,7,3
"Nulla ac enim. In tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem.",2,3105,2,3,true,9,10,14,7,2,7,3,3
Morbi vel lectus in quam fringilla rhoncus.,3,3910,6,9,false,7,1,93,2,9,4,3,1
Suspendisse accumsan tortor quis turpis.,9,327,5,1,false,8,8,82,1,10,3,2,2
"Quisque erat eros viverra eget congue eget semper rutrum nulla. Nunc purus.",10,2870,3,10,true,1,1,6,9,8,7,3,4
Vivamus vel nulla eget eros elementum pellentesque.,9,4738,3,1,true,7,7,30,10,2,8,8,2
Duis bibendum.,7,1234,5,1,true,3,8,73,6,10,4,9,4
Nulla justo.,10,1942,7,4,false,5,5,29,7,5,3,9,3
"Lorem ipsum dolor sit amet consectetuer adipiscing elit.",2,4299,7,3,false,9,4,91,7,7,1,3,1
Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,5,1873,10,7,true,5,1,38,9,10,4,10,3
Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,10,4345,9,5,true,10,7,38,4,7,6,5,1
Donec semper sapien a libero.,1,2509,3,10,false,5,9,58,9,9,4,4,4
Proin eu mi.,6,3722,4,6,false,9,9,32,7,3,8,5,3
"Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2,4166,8,10,true,4,1,33,4,10,2,3,1
"Morbi odio odio elementum eu interdum eu tincidunt in leo. Maecenas pulvinar lobortis est.",8,3520,2,3,false,4,1,63,3,6,4,2,3
Nulla tempus.,2,2601,6,1,false,5,6,37,8,10,5,1,2
"Maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Mauris viverra diam vitae quam. Suspendisse potenti.",4,300,8,4,true,1,9,65,1,6,3,8,1
Sed sagittis.,9,3609,8,3,false,1,7,60,1,9,9,2,3
"Integer non velit. Donec diam neque vestibulum eget vulputate ut ultrices vel augue.",5,4241,1,10,false,9,3,50,2,2,6,5,4
Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,8,1223,9,8,true,4,10,51,9,3,6,8,4
Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,4,1479,5,9,false,1,1,30,6,3,10,3,2
Proin risus.,3,906,1,9,true,5,7,81,10,7,6,2,2
"Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",3,1043,5,5,true,10,3,66,9,4,7,8,4
Donec quis orci eget orci vehicula condimentum.,7,3843,4,5,false,7,3,60,3,10,3,2,4
"Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",1,891,8,3,true,4,4,92,6,8,8,4,4
Etiam justo.,7,1214,3,2,true,10,10,74,2,1,9,3,4
"Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1,679,3,1,true,7,8,1,7,7,2,4,4
Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,2,2849,2,6,true,1,5,46,4,4,3,5,1
Praesent id massa id nisl venenatis lacinia.,9,1035,1,5,true,5,1,19,3,3,2,2,2
In hac habitasse platea dictumst.,4,4525,5,7,true,6,3,86,7,10,5,7,2
Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,9,432,8,8,false,10,5,10,4,1,4,1,4
"Vestibulum quam sapien varius ut blandit non interdum in ante.",10,3076,9,7,true,1,5,87,6,4,9,3,4
Proin risus. Praesent lectus.,10,4779,3,1,false,7,9,29,10,1,3,2,1
"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem.",9,3886,6,9,true,5,6,43,10,7,7,1,3
Morbi non quam nec dui luctus rutrum.,8,4013,10,4,true,3,8,22,5,10,8,9,3
"Donec odio justo sollicitudin ut suscipit a feugiat et eros. Vestibulum ac est lacinia nisi venenatis tristique.",9,599,5,5,true,2,9,35,8,9,1,4,4
Proin at turpis a pede posuere nonummy.,10,3682,4,9,false,6,6,78,6,6,8,6,2
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",10,1057,8,8,false,3,4,66,10,2,10,10,1
"In est risus auctor sed tristique in tempus sit amet sem.",10,1904,3,5,false,1,3,28,10,8,2,8,2
Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,9,1962,4,9,true,7,10,86,4,2,4,2,2
Donec dapibus.,9,555,6,2,false,5,6,71,1,6,3,1,3
"Quisque arcu libero rutrum ac lobortis vel dapibus at diam.",8,1766,2,8,false,1,5,23,2,4,8,7,1
"Morbi ut odio. Cras mi pede malesuada in imperdiet et commodo vulputate justo. In blandit ultrices enim.",6,730,10,10,false,2,8,31,2,9,10,4,2
In sagittis dui vel nisl.,8,650,8,4,true,2,10,26,2,6,6,9,2
Praesent lectus.,7,2669,7,4,false,7,6,12,6,7,7,8,3
"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis. Fusce posuere felis sed lacus.",9,4716,2,6,true,8,5,46,8,2,6,3,3
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Duis faucibus accumsan odio. Curabitur convallis.,1,408,7,4,true,3,6,55,3,2,4,9,3
"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci.",7,3107,8,3,true,3,4,6,9,4,6,5,2
Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,5,682,10,1,true,2,7,89,2,4,2,9,4
"Integer non velit. Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",1,2653,7,9,true,8,6,25,10,8,6,2,2
Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2,2439,2,3,true,3,1,78,3,6,8,7,3
"Nulla ac enim. In tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem.",2,3105,2,3,true,9,10,14,7,2,7,3,3
Morbi vel lectus in quam fringilla rhoncus.,3,3910,6,9,false,7,1,93,2,9,4,3,1
Suspendisse accumsan tortor quis turpis.,9,327,5,1,false,8,8,82,1,10,3,2,2
"Quisque erat eros viverra eget congue eget semper rutrum nulla. Nunc purus.",10,2870,3,10,true,1,1,6,9,8,7,3,4
Vivamus vel nulla eget eros elementum pellentesque.,9,4738,3,1,true,7,7,30,10,2,8,8,2
Duis bibendum.,7,1234,5,1,true,3,8,73,6,10,4,9,4
Nulla justo.,10,1942,7,4,false,5,5,29,7,5,3,9,3
"Lorem ipsum dolor sit amet consectetuer adipiscing elit.",2,4299,7,3,false,9,4,91,7,7,1,3,1
Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,5,1873,10,7,true,5,1,38,9,10,4,10,3
Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,10,4345,9,5,true,10,7,38,4,7,6,5,1
Donec semper sapien a libero.,1,2509,3,10,false,5,9,58,9,9,4,4,4
Proin eu mi.,6,3722,4,6,false,9,9,32,7,3,8,5,3
"Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2,4166,8,10,true,4,1,33,4,10,2,3,1
"Morbi odio odio elementum eu interdum eu tincidunt in leo. Maecenas pulvinar lobortis est.",8,3520,2,3,false,4,1,63,3,6,4,2,3
Nulla tempus.,2,2601,6,1,false,5,6,37,8,10,5,1,2
"Maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Mauris viverra diam vitae quam. Suspendisse potenti.",4,300,8,4,true,1,9,65,1,6,3,8,1
Sed sagittis.,9,3609,8,3,false,1,7,60,1,9,9,2,3
"Integer non velit. Donec diam neque vestibulum eget vulputate ut ultrices vel augue.",5,4241,1,10,false,9,3,50,2,2,6,5,4
Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,8,1223,9,8,true,4,10,51,9,3,6,8,4
Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,4,1479,5,9,false,1,1,30,6,3,10,3,2
Proin risus.,3,906,1,9,true,5,7,81,10,7,6,2,2
"Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",3,1043,5,5,true,10,3,66,9,4,7,8,4
Donec quis orci eget orci vehicula condimentum.,7,3843,4,5,false,7,3,60,3,10,3,2,4
"Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.",1,891,8,3,true,4,4,92,6,8,8,4,4
Etiam justo.,7,1214,3,2,true,10,10,74,2,1,9,3,4
